SR,Drug Registration Number,Medicine Name,Strength,Unit of strength,Pharmaceutical form,Pack size,Active substance 1,Active substance 2,Active substance 3,Active substance 4,Retail Price,MAH name
2143,DRN-6940/06,Fudion,2,%,Cream,15g Aluminium Tube,Fusidic Acid,,,,0.810,"Oman Pharmaceutical Products Co. LLC (Zynova), Oman."
2144,DRN-6941/06,Aclasta,5,mg/100mL,Solution For IV Infusion,100ml ,Zoledronic Acid ,,,,211.200,"Novartis Pharma AG, Switzerland."
2145,DRN-6942/06,Opizole-B,1,%,Cream,20g ,Betamethasone Dipropionate,Clotrimazole,,,1.020,"Oman Pharmaceutical Products Co. LLC (Zynova), Oman."
2146,DRN-6943/06,Flucoral,150,mg,Hard Gelatin Capsules,2' s,Fluconazole,,,,3.560,"South Egypt Drug Industries Co. (SEDICO), Egypt."
2147,DRN-6944/06,Nicorette Freshmint,2,mg,Medicated Chewing Gum,30' ,Nicotine,,,,2.090,"McNeil AB, Sweden."
2148,DRN-6945/06,Nicorette Freshmint,4,mg,Medicated Chewing Gum,30' ,Nicotine,,,,2.730,"McNeil AB, Sweden."
2149,DRN-6946/06,Zynovate,0.1,%,Cream,15g ,Mometasone Furoate,,,,1.020,"Oman Pharmaceutical Products Co. LLC (Zynova), Oman."
2150,DRN-6947/06,Zynovate,0.1,%,Ointment,15g ,Mometasone Furoate,,,,1.020,"Oman Pharmaceutical Products Co. LLC (Zynova), Oman."
2151,DRN-6948/06,Dimet,500,mg,Tablets,50' ,Metformin HCl ,,,,0.870,"Oman Pharmaceutical Products Co. LLC (Zynova), Oman."
2152,DRN-6949/06,Dimet,850,mg,Tablets,50' ,Metformin HCl ,,,,1.400,"Oman Pharmaceutical Products Co. LLC (Zynova), Oman."
2153,DRN-6951/06,Midocef,500,mg,Capsules,16' PVC/Aluminium Blister,Cefaclor ,,,,4.340,"Middle East Pharmaceutical & Chemical Industriess Co. (Midpharma), Jordan."
2154,DRN-6952/06,Pangesic,250,mg,Capsules,20' ,Mefenamic Acid,,,,0.440,"Ram Pharmaceutical Industries Co. Ltd, Jordan."
2155,DRN-6953/06,Magnacef,200,mg,Capsules,8' ,Cefixime,,,,3.370,"Ram Pharmaceutical Industries Co. Ltd, Jordan."
2156,DRN-6954/06,Magnacef,400,mg,Capsules,6' ,Cefixime,,,,5.020,"Ram Pharmaceutical Industries Co. Ltd, Jordan."
2157,DRN-6955/06,Magnacef,100,mg/5mL,Suspension,30ml ,Cefixime,,,,1.720,"Ram Pharmaceutical Industries Co. Ltd, Jordan."
2158,DRN-6956/06,Magnacef,100,mg/5mL,Suspension,60ml ,Cefixime,,,,3.050,"Ram Pharmaceutical Industries Co. Ltd, Jordan."
2159,DRN-6957/06,Pansoral,8.7,g,Gel,15g ,Choline Salicylate,Cetalkonium Chloride,,,0.790,"Pierre Fabre Medicament Laboratories, France."
2160,DRN-6958/06,Emifenac 50 DT,50,mg,Dispersible Tablets,10' x 2 Blister,Diclofenac Sodium,,,,2.770,"Globalpharma Co. LLC, UAE."
2161,DRN-6960/06,Glotrizine,5,mg/5mL,Syrup,100ml ,Cetirizine HCl,,,,0.880,"Globalpharma Co. LLC, UAE."
2162,DRN-6961/06,Emilora,5,mg/5mL,Syrup,100ml,Loratadine,,,,1.260,"Globalpharma Co. LLC, UAE."
2163,DRN-6965/06,TYGACIL,50,MG,POWDER FOR SOLUTION FOR INFUSION,10 X 5ML ,TIGECYCLINE,,,,223.420,"PFIZER LIMITED, UK."
2164,DRN-6967/06,Citalogen,20,mg,Film Coated Tablets,30' ,Citalopram Hydrobromide,,,,10.180,"Riyadh Pharma (Medical and Cosmetic Product Co. Ltd), KSA."
2165,DRN-6966/06,Citalogen,10,mg,Film Coated Tablets,30' ,Citalopram Hydrobromide,,,,6.110,"Riyadh Pharma (Medical and Cosmetic Product Co. Ltd), KSA."
2166,DRN-6968/06,Citalogen,40,mg,Film Coated Tablets,30' ,Citalopram Hydrobromide,,,,16.800,"Riyadh Pharma (Medical and Cosmetic Product Co. Ltd), KSA."
2167,DRN-6969/06,Neomox,125,mg/5mL,Powder For Oral Susp,100ml ,Amoxicillin,,,,0.740,"Neopharma LLC, UAE."
2168,DRN-6970/06,Neomox,250,mg/5mL,Powder For Oral Susp,100ml ,Amoxicillin,,,,1.480,"Neopharma LLC, UAE."
2169,DRN-6971/06,Neoday,10,mg,Tablets,10'S,Loratadine,,,,1.100,"Neopharma LLC, UAE."
2170,DRN-6974/06,Norprolac,75,mcg,Tablets,30' ,Quinagolide,,,,14.670,"Ferring GmbH, Germany."
2171,DRN-6975/06,Norprolac,25/50,mcg,Tablets,3 x 25mcg + 3 x 50mcg ,Quinagolide,,,,1.760,"Ferring GmbH, Germany."
2172,DRN-6976/06,Avodart,0.5,mg,Soft Gelatin Capsules,30',Dutasteride,,,,14.610,"GlaxoSmithkline Export Limited, UK."
2173,DRN-6977/06,Uroxin,400,mg,Film Coated Tablets,14' Blister,Norfloxacin,,,,1.780,"Gulf Pharmaceutical Industries (Julphar), UAE."
2174,DRN-6980/06,Keppra,100,mg/mL,Oral Solution,300ml ,Levetiracetam,,,,29.420,"GlaxoSmithkline Export Limited, UK."
2175,DRN-6982/06,ARANESP (SURECLICK),300,MCG,SOLUTION FOR INJECTION,1,DARBEPOETIN ALFA,,,,351.330,"AMGEN EUROPE BV, THE NETHERLANDS."
2176,DRN-6984/06,ARANESP (SURECLICK),500,MCG,SOLUTION FOR INJECTION,1,DARBEPOETIN ALFA,,,,585.560,"AMGEN EUROPE BV, THE NETHERLANDS."
2177,DRN-6986/06,Flucoric,150,mg,Capsules,1' Blister Strips,Fluconazole,,,,2.040,Ranbaxy Labs. Ltd. (Dewas)/ India
2178,DRN-6987/06,Hypodipine,5,mg,Capsules,28' PVC/Aluminium Blister,Amlodipine Besylate,,,,3.860,"Middle East Pharmaceutical & Chemical Industriess Co. (Midpharma), Jordan."
2179,DRN-6988/06,Advanced Listerine With Tartar Protection Antiseptic,,,Mouth Wash Solution,250ml,Eucalyptol,Menthol,Methyl Salicylate,Thymol,1.250,"Johnson & Johnson Healthcare Products, USA."
2180,DRN-6989/06,Advanced Listerine With Tartar Protection Antiseptic,,,Mouth Wash Solution,500ml,Eucalyptol,Menthol,Methyl Salicylate,Thymol,2.010,"Johnson & Johnson Healthcare Products, USA."
2181,DRN-6990/06,Cobal,500,mcg,Coated Tablets,30' AL/AL Blister IN CARTON,Mecobalamin,,,,2.010,"The Jordanian Pharmaceutical Manufacturing Co. Ltd (JPM), Jordan."
2182,DRN-6993/06,Clarixin,500,mg,Film Coated Tablets,14' ,Clarithromycin,,,,5.110,"Pharma International Company, Jordan."
2183,DRN-6997/06,Emixal,,,Chewable Tablets,50' ,Aluminium Hydroxide,Magnesium Hydroxide,,,0.770,"Globalpharma Co. LLC, UAE."
2184,DRN-6998/06,Hairgrow,5,%,Topical Solution,50ml ,Minoxidil,,,,7.720,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
2185,DRN-6999/06,Influvac ,15,mcg/0.5mL,Suspension For Injection,0.5ml Prefilled SyRinge,Influenza Virus Subunit Vaccine,,,,2.540,"Abbott Biologicals BV, The Netherlands."
2186,DRN-7000/06,Zetron,250,mg,Capsules,6' ,Azithromycin,,,,3.560,"Tabuk Pharmaceutical Manufacturing Company, KSA."
2187,DRN-7003/06,Diclon,,,Emulgel,45g,Diclofenac Diethylamine,,,,1.040,"Medpharma Pharmaceutical & Chemical Industries LLC, UAE."
2188,DRN-7004/06,Betamed,0.1,%,Cream,15g,Betamethasone Valerate,,,,0.480,"Medpharma Pharmaceutical & Chemical Industries LLC, UAE."
2189,DRN-7005/06,Betamed-N,,,Cream,30g,Betamethasone Valerate,Neomycin Sulfate,,,0.720,"Medpharma Pharmaceutical & Chemical Industries LLC, UAE."
2190,DRN-7006/06,Candizole,2,%,Vaginal Cream,45g,Miconazole Nitrate,,,,1.440,"Medpharma Pharmaceutical & Chemical Industries LLC, UAE."
2191,DRN-7007/06,Simvagen,10,mg,Film Coated Tablets,30' ,Simvastatin,,,,5.030,"Riyadh Pharma (Medical and Cosmetic Product Co. Ltd), KSA."
2192,DRN-7008/06,SIMVAGEN,20,MG,FILM-COATED TABLET,30,SIMVASTATIN,,,,5.920,"RIYADH PHARMA (MEDICAL AND COSMETIC PRODUCT CO. LTD), KSA."
2193,DRN-7009/06,Simvagen,40,mg,Film Coated Tablets,30' ,Simvastatin,,,,11.710,"Riyadh Pharma (Medical and Cosmetic Product Co. Ltd), KSA."
2194,DRN-7010/06,Ciprogen,250,mg,Film Coated Tablets,10' ,Ciprofloxacin,,,,2.700,"Riyadh Pharma (Medical and Cosmetic Product Co. Ltd), KSA."
2195,DRN-7011/06,Ciprogen,500,mg,Film Coated Tablets,10' ,Ciprofloxacin,,,,4.430,"Riyadh Pharma (Medical and Cosmetic Product Co. Ltd), KSA."
2196,DRN-7016/06,Cymbalta,30,mg,Capsules,28' ,Duloxetine HCl,,,,10.760,"Eli Lilly Nederland BV, The Netherlands."
2197,DRN-7017/06,Cymbalta,60,mg,Capsules,28' ,Duloxetine HCl,,,,21.530,"Eli Lilly Nederland BV, The Netherlands."
2198,DRN-7018/06,Durogesic ,25,mcg/hr,Transdermal Patches,5's,Fentanyl,,,,15.840,"Janssen Pharmaceutica NV, Belgium."
2199,DRN-7019/06,Durogesic ,50,mcg/hr,Transdermal Patches,5's,Fentanyl,,,,26.610,"Janssen Pharmaceutica NV, Belgium."
2200,DRN-7021/06,Durogesic ,100,mcg/hr,Transdermal Patches,5's,Fentanyl,,,,46.530,"Janssen Pharmaceutica NV, Belgium."
2201,DRN-7022/06,Zinoximor,500,mg,Film Coated Tablets,14' ,Cefuroxime Axetil,,,,7.610,"Tabuk Pharmaceutical Manufacturing Company, KSA."
2202,DRN-7023/06,Omeral,20,mg,Capsules,14' ,Omeprazole,,,,5.560,"Jazeera Pharmaceuticals Industries, KSA."
2203,DRN-7024/06,Diovan,40,mg,Film Coated Tablets,28' ,Valsartan,,,,5.050,"Novartis Pharma AG, Switzerland."
2204,DRN-7025/06,Lyrica,25,mg,Hard Capsule,14' ,Pregabalin,,,,1.930,"Pfizer Limited, UK."
2205,DRN-7026/06,Lyrica,50,mg,Hard Capsule,21' ,Pregabalin,,,,4.550,"Pfizer Limited, UK."
2206,DRN-7027/06,Lyrica,75,mg,Hard Capsule,14' ,Pregabalin,,,,4.980,"Pfizer Limited, UK."
2207,DRN-7028/06,Lyrica,150,mg,Hard Capsule,56' ,Pregabalin,,,,28.030,"Pfizer Limited, UK."
2208,DRN-7029/06,Lyrica,300,mg,Hard Capsule,56' ,Pregabalin,,,,40.830,"Pfizer Limited, UK."
2209,DRN-7030/06,Caduet,5/10,mg,Tablets,30' HDPE Bottle,Amlodipine Besylate,Atorvastatin Calcium,,,15.400,"Pfizer Inc, USA."
2210,DRN-7031/06,Caduet,5/20,mg,Tablets,30' HDPE Bottle,Amlodipine Besylate,Atorvastatin Calcium,,,21.410,"Pfizer Inc, USA."
2211,DRN-7032/06,Caduet,5/40,mg,Tablets,30' HDPE Bottle,Amlodipine Besylate,Atorvastatin Calcium,,,22.730,"Pfizer Inc, USA."
2212,DRN-7033/06,Caduet,10/10,mg,Tablets,30' HDPE Bottle,Amlodipine Besylate,Atorvastatin Calcium,,,15.290,"Pfizer Inc, USA."
2213,DRN-7036/06,Tarceva,100,mg,Film Coated Tablets,30's,Erlotinib,,,,550.180,"F. Hoffmann La Roche Ltd, Switzerland."
2214,DRN-7037/06,Tarceva,150,mg,Film Coated Tablets,30',Erlotinib,,,,686.890,"F. Hoffmann La Roche Ltd, Switzerland."
2215,DRN-7038/06,Cefotax,1,g,Injection,1's + 1's,Cefotaxime Sodium,,,,1.910,"Egyptian International Pharmaceutical Industries Co. (EIPICO), Egypt."
2216,DRN-7041/06,Novecin,200,mg,Film Coated Tablets,10' PVC Aluminium Blister,Ofloxacin,,,,3.720,"United Pharmaceutical Manufacturing Co. Ltd, Jordan."
2217,DRN-7042/06,CLARADONE,10,% W/V,ANTISEPTIC VAGINAL DOUCHE,200ML,POVIDONE IODINE,,,,2.540,"MEDPHARMA PHARMACEUTICAL & CHEMICAL INDUSTRIES LLC, UAE."
2218,DRN-7043/06,Vfend,10,mg/mL,Powder For Soln.For Infusion,1' Glass Vial,Voriconazole,,,,50.260,"Pfizer Limited, UK."
2219,DRN-7044/06,Cefotax,500,mg,Injection,1's + 1's,Cefotaxime Sodium,,,,1.230,"Egyptian International Pharmaceutical Industries Co. (EIPICO), Egypt."
2220,DRN-7047/06,Gental,0.1,%,Cream,15g,Gentamicin Sulfate,,,,0.770,"Gulf Pharmaceutical Industries (Julphar), UAE."
2221,DRN-7049/06,Mucum,15,mg/5mL,Syrup,100ml,Ambroxol HCl,,,,0.780,"Gulf Pharmaceutical Industries (Julphar), UAE."
2222,DRN-7061/06,OMCET,10,MG,TABLET,10,CETIRIZINE HCL,,,,0.890,"NATIONAL PHARMACEUTICAL INDUSTRIES CO. ""SAOG"" (NPI), OMAN."
2223,DRN-7062/06,Mucum,30,mg,Tablets,20' ,Ambroxol HCl,,,,0.840,"Gulf Pharmaceutical Industries (Julphar), UAE."
2224,DRN-7063/06,Meva,135,mg,Film Coated Tablets,30' ,Mebeverine HCl,,,,1.790,"Jamjoom Pharmacuticals Company, KSA."
2225,DRN-7064/06,Baraclude,0.5,mg,Film Coated Tablets,30',Entecavir,,,,213.450,"Bristol-Myers Squibb Company, USA."
2226,DRN-7065/06,Baraclude,1,mg,Film Coated Tablets,30',Entecavir,,,,218.900,"Bristol-Myers Squibb Company, USA."
2227,DRN-7066/06,Bevason-N,,,Ointment,20g ,Betamethasone Valerate,Neomycin Sulfate,,,0.480,"Oman Pharmaceutical Products Co. LLC (Zynova), Oman."
2228,DRN-7067/06,Blopress,16,mg,Tablets,28,Candesartan Cilexetil,,,,7.430,"The Arab Pharmaceutical Manufacturing Co. (APM), Jordan."
2229,DRN-7068/06,Procoralan,5,mg,Film Coated Tablets,56's,Ivabradine Hcl.,,,,30.060,"Les Laboratoires Servier, France."
2230,DRN-7069/06,Procoralan,7.5,mg,Film Coated Tablets,56's,Ivabradine Hcl.,,,,30.060,"Les Laboratoires Servier, France."
2231,DRN-7070/06,Neomet,500,mg,Tablets,30' ,Metformin HCl ,,,,0.490,"Neopharma LLC, UAE."
2232,DRN-7071/06,Neocipro,500,mg,Film Coated Tablets,10's,Ciprofloxacin,,,,4.020,"Neopharma LLC, UAE."
2233,DRN-7072/06,BONDRONAT,6,MG/6ML,CONCENTRATE FOR SOLUTION FOR INFUSION,1',Ibandronic Acid,,,,156.650,"Roche Pharma (Schweiz) AG, Switzerland."
2234,DRN-7078/06,Moven,7.5,mg,Capsules,10' ,Meloxicam,,,,1.530,"The Arab Pharmaceutical Manufacturing Co. (APM), Jordan."
2235,DRN-7079/06,Moven,15,mg,Capsules,10' ,Meloxicam,,,,2.040,"The Arab Pharmaceutical Manufacturing Co. (APM), Jordan."
2236,DRN-7080/06,Topcet,0.5,%,Cream,30g ,Cetrimide,,,,0.560,"Oman Pharmaceutical Products Co. LLC (Zynova), Oman."
2237,DRN-7082/06,Zemplar,5,mcg/mL,Solution For Injection,5' Ampoules x 1 ml,Paricalcitol,,,,43.210,"Abbvie Srl, Italy."
2238,DRN-7084/06,Amirone,200,mg,Tablets,30' ,Amiodarone HCl,,,,2.730,"Gulf Pharmaceutical Industries (Julphar), UAE."
2239,DRN-7085/06,Julmentin 2X,1,g,Tablets,15' ,Amoxicillin,Clavulanic Acid,,,6.970,"Gulf Pharmaceutical Industries (Julphar), UAE."
2240,DRN-7086/06,Julmentin 2X,457,mg/5mL,Powder For Oral Susp,70ml,Amoxicillin,Clavulanic Acid,,,2.590,"Gulf Pharmaceutical Industries (Julphar), UAE."
2241,DRN-7088/06,Lorinase,,,Syrup,100ml,Loratadine,Pseudoephedrine Sulfate,,,2.260,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
2242,DRN-7089/06,Sortiva,50,mg,Film Coated Tablets,30' ,Losartan Potassium,,,,7.610,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
2243,DRN-7090/06,Daroxime,250,mg,Tablets,10' ,Cefuroxime Axetil,,,,3.280,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
2244,DRN-7091/06,Daroxime,500,mg,Tablets,10' ,Cefuroxime Axetil,,,,5.440,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
2245,DRN-7094/06,Simvaten,10,mg,Film Coated Tablets,30' ,Simvastatin,,,,5.030,"Saudi Arabian Japanese Pharmaceutical Company Limited (SAJA), KSA."
2246,DRN-7095/06,Simvaten,20,mg,Film Coated Tablets,30' ,Simvastatin,,,,5.920,"Saudi Arabian Japanese Pharmaceutical Company Limited (SAJA), KSA."
2247,DRN-7096/06,Simvaten,40,mg,Film Coated Tablets,30' ,Simvastatin,,,,11.030,"Saudi Arabian Japanese Pharmaceutical Company Limited (SAJA), KSA."
2248,DRN-7101/06,Vitamin B99 Complex,,,Prolonged-Release Tablets,60' Amber Glass Bottle,Biotin,Choline Bitartrate,Folic Acid,Inositol,4.430,"Healthaid Ltd, UK."
2249,DRN-7102/06,Vitamin E,1000,IU,Capsules,30' Amber Glass Bottle,Vit E,,,,3.930,"Healthaid Ltd, UK."
2250,DRN-7103/06,Psyllium Husk,1000,mg,Capsules,60' Amber Glass Bottle,Plantago Ovata Seeds,,,,3.930,"Healthaid Ltd, UK."
2251,DRN-7104/06,Klarihist,5,mg/5mL,Syrup,100ml,Loratadine,,,,1.260,"United Pharmaceutical Manufacturing Co. Ltd, Jordan."
2252,DRN-7107/06,Emiphage,850,mg,Tablets,30' ,Metformin HCl ,,,,0.890,"Globalpharma Co. LLC, UAE."
2253,DRN-7108/06,Emidol Cold,,,Syrup,100ml,Paracetamol,Chlorpheniramine Maleate,Pseudoephedrine HCl,,0.990,"Globalpharma Co. LLC, UAE."
2254,DRN-7109/06,Emilok,20,mg,Capsules,14' ,Omeprazole,,,,5.560,"Globalpharma Co. LLC, UAE."
2255,DRN-7110/06,Lohist,10,mg,Tablets,20' ,Loratadine,,,,2.010,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
2256,DRN-7116/06,Amol Extra,500/65,mg,Tablets,20' ,Paracetamol,Caffeine,,,0.540,"Shaphaco Pharmaceutical Industries, Yemen."
2257,DRN-7118/06,Augmoks,625,mg,Tablets,20' ,Amoxicillin,Clavulanic Acid,,,5.300,"Shaphaco Pharmaceutical Industries, Yemen."
2258,DRN-7119/06,Listerine Cool Mint,,,Mouth Wash Solution,500ml,Eucalyptol,Menthol,Methyl Salicylate,Thymol,2.010,"Johnson & Johnson Healthcare Products, USA."
2259,DRN-7120/06,Listerine Fresh Burst,,,Mouth Wash Solution,500ml,Eucalyptol,Menthol,Methyl Salicylate,Thymol,2.010,"Johnson & Johnson Healthcare Products, USA."
2260,DRN-7121/06,Listerine Antiseptic,,,Mouth Wash Solution,500ml,Eucalyptol,Menthol,Methyl Salicylate,Thymol,2.010,"Johnson & Johnson Healthcare Products, USA."
2261,DRN-7122/06,Bactroban,2,%,Nasal Ointment,3g Aluminium Tube,Mupirocin Calcium,,,,4.420,"Glaxo Group Limited, UK."
2262,DRN-7123/06,Augmentin ES,642.9,mg/5mL,Powder For Oral Susp,100ml ,Amoxicillin,Clavulanic Acid,,,5.730,"GlaxoSmithKline Produtos Farmaceuticos Lda, Portugal."
2263,DRN-7124/06,Augmentin,1.2,g,Powder for solution for injection/infusion,10' Vials,Amoxicillin,Clavulanic Acid,,,18.540,"Beecham Group PLC, UK."
2264,DRN-7125/06,Pmol,500,mg,Caplets,24' ,Paracetamol,,,,0.390,"Oman Pharmaceutical Products Co. LLC (Zynova), Oman."
2265,DRN-7126/06,Diclomax Emulgel,1,%,Gel,50g,Diclofenac Diethylamine,,,,1.040,"Jazeera Pharmaceuticals Industries, KSA."
2266,DRN-7127/06,Duspamen,135,mg,Tablets,30' ,Mebeverine HCl,,,,1.730,"Jazeera Pharmaceuticals Industries, KSA."
2267,DRN-7128/06,Rinofed,,,Tablets,30' ,Pseudoephedrine HCl,Triprolidine HCl,,,0.660,"Jazeera Pharmaceuticals Industries, KSA."
2268,DRN-7129/06,Ramoclav,375,mg,Tablets,20' HDPE,Amoxicillin,Clavulanic Acid,,,2.800,"Ram Pharmaceutical Industries Co. Ltd, Jordan."
2269,DRN-7130/06,Ramoclav,625,mg,Tablets,20' HDPE,Amoxicillin,Clavulanic Acid,,,5.300,"Ram Pharmaceutical Industries Co. Ltd, Jordan."
2270,DRN-7131/06,Rotateq,,,Solution for Oral administration ,1's Single Dose 2ml tube,Human- Bovine Rotavirus Reassortants Live G1 ,Human- Bovine Rotavirus Reassortants Live G2,Human- Bovine Rotavirus Reassortants Live G3,Human- Bovine Rotavirus Reassortants Live G4,21.410,"Merck Sharp & Dohme Corp, USA."
2271,DRN-7133/06,Tardyferon,80,mg,Film Coated Tablets,30's,Ferrous Sulfate,,,,1.300,"Pierre Fabre Medicament Laboratories, France."
2272,DRN-7134/06,Asmanex Twisthaler,200,mcg,Inhalation Powder,30 Doses,Mometasone Furoate,,,,14.870,"MSD BELGIUM BVBA/SPRL, BELGIUM."
2273,DRN-7135/06,Asmanex Twisthaler,200,mcg,Inhalation Powder,60 Doses,Mometasone Furoate,,,,20.690,"MSD BELGIUM BVBA/SPRL, BELGIUM."
2274,DRN-7136/06,Asmanex Twisthaler,400,mcg,Inhalation Powder,30 Doses,Mometasone Furoate,,,,20.690,"MSD BELGIUM BVBA/SPRL, BELGIUM."
2275,DRN-7137/06,Asmanex Twisthaler,400,mcg,Inhalation Powder,60 Doses,Mometasone Furoate,,,,27.540,"MSD BELGIUM BVBA/SPRL, BELGIUM."
2276,DRN-7138/06,Emicipro,750,mg,Film Coated Tablets,10' Blister,Ciprofloxacin,,,,6.270,"Globalpharma Co. LLC, UAE."
2277,DRN-7139/06,Androgel,50,mg,Gel,30' x 5g Sachets PET/AL/PE/LDPE,Testosterone,,,,25.400,"Besins Manufacturing, Belgium."
2278,DRN-7140/06,Ospamox,500,mg/5mL,Powder For Oral Suspension,100ml,Amoxycillin Trihydrate,,,,3.560,"Sandoz GmbH, Austria."
2279,DRN-7141/06,Pabal,100,mcg/mL,Injection,5' x 1 ml ,Carbetocin,,,,46.110,"Ferring GmbH, Germany."
2280,DRN-7146/06,Loramax,10,mg,Tablets,10' ,Loratadine,,,,1.100,"Jazeera Pharmaceuticals Industries, KSA."
2281,DRN-7147/06,Loramax,5,mg/5mL,Syrup,100ml,Loratadine,,,,1.260,"Jazeera Pharmaceuticals Industries, KSA."
2282,DRN-7148/06,Remox,500,mg,Capsules,20' ,Amoxicillin,,,,2.280,"Jazeera Pharmaceuticals Industries, KSA."
2283,DRN-7149/06,Remox,250,mg/5mL,Suspension,100ml,Amoxicillin,,,,1.490,"Jazeera Pharmaceuticals Industries, KSA."
2284,DRN-7150/06,Crestor,5,mg,Film Coated Tablets,28's,Rosuvastatin Calcium,,,,4.990,"AstraZeneca UK Limited, UK."
2285,DRN-7151/06,Supplin,500,mg,Film Coated Tablets,20',Metronidazole,,,,1.590,"Sandoz GmbH, Austria."
2286,DRN-7152/06,Resolve Tinea,2,%,Cream,25g ,Miconazole Nitrate,,,,0.650,"Ego Pharmaceuticals Pty Ltd, Australia."
2287,DRN-7153/06,Resolve Plus,,,Cream,30g,Miconazole Nitrate ,Hydrocortisone Acetate,,,2.210,"Ego Pharmaceuticals Pty Ltd, Australia."
2288,DRN-7154/06,Emicipro,250,mg,Film Coated Tablets,10' Blister,Ciprofloxacin,,,,2.700,"Globalpharma Co. LLC, UAE."
2289,DRN-7155/06,Emicipro,500,mg,Film Coated Tablets,10' Blister,Ciprofloxacin,,,,4.410,"Globalpharma Co. LLC, UAE."
2290,DRN-7156/06,Voltfast,50,mg,Powder For Oral Solution,3' Sachets,Diclofenac Potassium,,,,0.670,"Novartis Pharma AG, Switzerland."
2291,DRN-7157/06,Voltfast,50,mg,Powder For Oral Solution,9' Sachets ,Diclofenac Potassium,,,,1.770,"Novartis Pharma AG, Switzerland."
2292,DRN-7158/06,Teveten Plus,600/12.5,mg,Film Coated Tablets,28,Eprosartan,Hydrochlorothiazide,,,11.010,"Abbott Laboratories GmbH, Germany."
2293,DRN-7159/06,Ferriprox,500,mg,Film Coated Tablets,100' s,Deferiprone,,,,54.670,"Apotex Inc, Canada."
2294,DRN-7160/06,Neogyl,500,mg,Film Coated Tablets,20' s,Metronidazole,,,,1.300,"Neopharma LLC, UAE."
2295,DRN-7161/07,Baneocin,250,IU/gm,Powder For External,15g,Bacitracin Zinc,Neomycin Sulfate,,,0.590,"Sandoz GmbH, Austria."
2296,DRN-7162/07,Vigamox,0.5,%,Eye drops,5mL,Moxifloxacin HCl,,,,3.340,"NOVARTIS PHARMA AG, SWITZERLAND."
2297,DRN-7164/07,Blopress Plus,16/12.5,mg,Tablets,28' PVC-Aluminium Blister Pack,Candesartan Cilexetil,Hydrochlorothiazide,,,8.650,"The Arab Pharmaceutical Manufacturing Co. (APM), Jordan."
2298,DRN-7165/07,Viscor,20,mg,Tablets,30' ,Simvastatin,,,,5.920,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
2299,DRN-7166/07,Elica,0.1,%,Ointment,30g ,Mometasone Furoate,,,,1.930,"Jamjoom Pharmacuticals Company, KSA."
2300,DRN-7168/07,Zeta-Cort,0.1/2,% w/w,Cream,15g,Betamethasone Valerate 0.1%,Fusidic Acid 2% ,,,0.930,"Tabuk Pharmaceutical Manufacturing Company, KSA."
2301,DRN-7169/07,Serdolect,4,mg,Film Coated Tablets,30's,Sertindole,,,,26.540,"H. Lundbeck A/S, Denmark."
2302,DRN-7173/07,Serdolect,16,mg,Film Coated Tablets,28's,Sertindole,,,,76.490,"H. Lundbeck A/S, Denmark."
2303,DRN-7177/07,Azomax,250,mg,Capsules,6' ,Azithromycin,,,,3.530,"Saudi Arabian Japanese Pharmaceutical Company Limited (SAJA), KSA."
2304,DRN-7181/07,Kaletra,200/50,mg,Film Coated Tablets,120's,Lopinavir ,Ritonavir,,,203.510,"Abbvie Ltd, UK."
2305,DRN-7182/07,Durogesic ,12,mcg/hr,Transdermal Patches,5's,Fentanyl,,,,8.960,"Janssen Pharmaceutica NV, Belgium."
2306,DRN-7183/07,Detrusitol Retard,2,mg,Prolonged-Release Capsules,14' ,Tolterodine Tartrate,,,,9.980,"Pfizer Italia Srl, Italy."
2307,DRN-7184/07,Detrusitol Retard,4,mg,Prolonged-Release Capsules,14' ,Tolterodine Tartrate,,,,9.980,"Pfizer Italia Srl, Italy."
2308,DRN-7190/07,Oralite (Oral Rehydration Salts Mixture),,,Powder Oral Rehydration Salts Mixture-Orange Flavour,10' Sachets,Dextrose,Sodium Chloride,Potassium Chloride,Sodium Citrate Dihydrate,1.920,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
2309,DRN-7191/07,Dompy,10,mg,Tablets,30' ,Domperidone,,,,1.040,"Jamjoom Pharmacuticals Company, KSA."
2310,DRN-7192/07,Blopress-8 Plus,8/12.5,mg,Tablets,28' ,Candesartan Cilexetil,Hydrochlorothiazide,,,7.080,"The Arab Pharmaceutical Manufacturing Co. (APM), Jordan."
2311,DRN-7193/07,Cefurex,500,mg,Film Coated Tablets,10' ALUM/ALUM Blister Pack,Cefuroxime Axetil,,,,5.440,"Middle East Pharmaceutical & Chemical Industriess Co. (Midpharma), Jordan."
2312,DRN-7194/07,Neomox,500,mg,Capsules,20's,Amoxicillin,,,,2.270,"Neopharma LLC, UAE."
